key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:12:24
Frame Index Range:,0 - 1558
Relative Time Range,00:00.000 - 01:25.340
Absolute Time Range,180887.53263099998 - 180972.873177
