key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:42:09
Frame Index Range:,0 - 1571
Relative Time Range,00:00.000 - 01:02.139
Absolute Time Range,346489.840855 - 346551.980049
