device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
8021595389,606745239031,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-2.8693201541900635, -116.75172424316406, 837.6378173828125)","(0.501400887966156, 0.7446312308311462, 0.8914802074432373)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619064
8021606492,606745250130,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-3.3449699878692627, -116.52597045898438, 837.6668701171875)","(0.5022047758102417, 0.7441014051437378, 0.8914790153503418)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619075
8021617596,606745261230,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-4.430071830749512, -117.289794921875, 837.557373046875)","(0.5040602684020996, 0.7458415627479553, 0.8914832472801208)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619087
8021628699,606745272330,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-4.920340061187744, -116.60104370117188, 837.65478515625)","(0.5048809051513672, 0.744242250919342, 0.8914911150932312)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619098
8021639802,606745283429,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.163118362426758, -116.13192749023438, 837.719970703125)","(0.5052850246429443, 0.743155300617218, 0.8914941549301147)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619132
8021650905,606745294528,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-1.5434116125106812, -115.65562438964844, 837.7847290039062)","(0.4991317093372345, 0.742132842540741, 0.8914631605148315)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619132
8021662008,606745305628,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-3.700390100479126, -116.98702239990234, 837.58740234375)","(0.5028162002563477, 0.7451621294021606, 0.8914517760276794)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619133
8021673111,606745316727,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.743411064147949, -116.18061828613281, 837.6924438476562)","(0.5062713623046875, 0.743261992931366, 0.8914604783058167)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619147
8021684214,606745327846,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.424612045288086, -115.4984130859375, 837.80224609375)","(0.5057180523872375, 0.741690993309021, 0.8914868235588074)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619154
8021695317,606745338972,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-6.910567283630371, -115.03914642333984, 837.851318359375)","(0.5082327127456665, 0.7406059503555298, 0.8914804458618164)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619165
