key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:52:51
Frame Index Range:,0 - 1851
Relative Time Range,00:00.000 - 01:15.627
Absolute Time Range,353852.443388 - 353928.070777
