key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:17:43
Frame Index Range:,0 - 1469
Relative Time Range,00:00.000 - 00:57.904
Absolute Time Range,-906047.5691569999 - -905989.664272
