key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,09:35:19
Frame Index Range:,0 - 1288
Relative Time Range,00:00.000 - 01:08.189
Absolute Time Range,274114.569254 - 274182.758995
