key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,10.01.2024
Export Time,13:38:44
Frame Index Range:,0 - 903
Relative Time Range,00:00.000 - 00:34.953
Absolute Time Range,72329.561192 - 72364.515036
