key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:15:38
Frame Index Range:,0 - 900
Relative Time Range,00:00.000 - 00:45.812
Absolute Time Range,79539.57564699999 - 79585.38772
