key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:50:51
Frame Index Range:,0 - 2026
Relative Time Range,00:00.000 - 01:17.663
Absolute Time Range,271548.478734 - 271626.14262
