device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
11104652738,678793317186,"(0.8688217401504517, 0.08579105883836746)","(135.5868682861328, 194.50730895996094, 62.74894714355469)",1,4.0563201904296875,1,"(3.8083059787750244, -20.337158203125, 775.186767578125)","(0.4880591630935669, 0.5302308797836304, 0.7509256601333618)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665865,0.8688217401504517,0.08579105883836746
11104663841,678793328289,"(0.8665757179260254, 0.08863130956888199)","(134.7611541748047, 193.95542907714844, 62.548072814941406)",1,4.068817138671875,1,"(3.480679988861084, -19.95963478088379, 775.2210693359375)","(0.4886544346809387, 0.529297411441803, 0.7509715557098389)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665876,0.8665757179260254,0.08863130956888199
11104674944,678793339392,"(0.8642500638961792, 0.09765303134918213)","(133.90626525878906, 192.2023468017578, 61.91004180908203)",1,4.077301025390625,1,"(3.1677451133728027, -19.901386260986328, 775.1710815429688)","(0.4892275333404541, 0.5291510224342346, 0.7508659958839417)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665887,0.8642500638961792,0.09765303134918213
11104686047,678793350495,"(0.8679037094116211, 0.09679281711578369)","(135.24937438964844, 192.3695068359375, 61.97087097167969)",1,4.0707244873046875,1,"(2.7168192863464355, -19.920547485351562, 775.6090087890625)","(0.4900582432746887, 0.52916020154953, 0.7517390251159668)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665899,0.8679037094116211,0.09679281711578369
11104697151,678793361599,"(0.8721149563789368, 0.10220643132925034)","(136.79750061035156, 191.31756591796875, 61.587989807128906)",1,4.074554443359375,1,"(2.267176866531372, -19.92867088317871, 775.6875610351562)","(0.4908837080001831, 0.5291650295257568, 0.7518935799598694)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665935,0.8721149563789368,0.10220643132925034
11104708254,678793372702,"(0.8713891506195068, 0.09363891929388046)","(136.53067016601562, 192.9823760986328, 62.193939208984375)",1,4.0803680419921875,1,"(1.9235961437225342, -19.936233520507812, 775.856201171875)","(0.49151483178138733, 0.5291651487350464, 0.7522293925285339)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665935,0.8713891506195068,0.09363891929388046
11104719357,678793383806,"(0.8699653148651123, 0.09311512857675552)","(136.0072479248047, 193.08412170410156, 62.23098373413086)",1,4.0680389404296875,1,"(1.4194709062576294, -19.915573120117188, 776.3041381835938)","(0.49244046211242676, 0.5290752053260803, 0.7531217336654663)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665935,0.8699653148651123,0.09311512857675552
11104730460,678793394909,"(0.8687892556190491, 0.09058212488889694)","(135.5749053955078, 193.57630920410156, 62.41013717651367)",1,4.07916259765625,1,"(0.9176234006881714, -19.914302825927734, 776.357421875)","(0.49336040019989014, 0.5290574431419373, 0.7532266974449158)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665943,0.8687892556190491,0.09058212488889694
11104741563,678793406012,"(0.868308424949646, 0.09231340140104294)","(135.39816284179688, 193.23989868164062, 62.28768539428711)",1,4.091156005859375,1,"(0.5244219303131104, -19.842079162597656, 776.463134765625)","(0.4940800070762634, 0.5288655757904053, 0.7534335851669312)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665954,0.868308424949646,0.09231340140104294
11104752666,678793417115,"(0.8652819395065308, 0.09505628049373627)","(134.2855682373047, 192.70692443847656, 62.09370422363281)",1,4.1075286865234375,1,"(0.25875335931777954, -20.203304290771484, 776.4467163085938)","(0.4945729672908783, 0.5297431945800781, 0.7534191608428955)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665965,0.8652819395065308,0.09505628049373627
11104763769,678793428218,"(0.8639693260192871, 0.095238097012043)","(133.80303955078125, 192.67160034179688, 62.080833435058594)",1,4.1219329833984375,1,"(-0.5771792531013489, -19.752748489379883, 776.2766723632812)","(0.49609771370887756, 0.5286340713500977, 0.7530564069747925)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665976,0.8639693260192871,0.095238097012043
11104774872,678793439321,"(0.8674834966659546, 0.0911024883389473)","(135.0948944091797, 193.47520446777344, 62.373348236083984)",1,4.1306304931640625,1,"(-1.0631823539733887, -19.66753387451172, 776.4149780273438)","(0.4969867765903473, 0.5284063816070557, 0.7533294558525085)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665987,0.8674834966659546,0.0911024883389473
11104785976,678793450425,"(0.8674834966659546, 0.0911024883389473)","(135.0948944091797, 193.47520446777344, 62.373348236083984)",1,4.1306304931640625,1,"(-1.6078885793685913, -19.649675369262695, 776.4154052734375)","(0.49798479676246643, 0.5283504724502563, 0.7533313035964966)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267665998,0.8674834966659546,0.0911024883389473
11104797079,678793461528,"(0.868244469165802, 0.09402436017990112)","(135.37461853027344, 192.90744018554688, 62.16670227050781)",1,4.134246826171875,1,"(-2.3016552925109863, -19.458560943603516, 776.3014526367188)","(0.4992537796497345, 0.5278749465942383, 0.753097414970398)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666010,0.868244469165802,0.09402436017990112
11104808182,678793472631,"(0.8626003861427307, 0.09745817631483078)","(133.29977416992188, 192.24021911621094, 61.923824310302734)",1,4.152069091796875,1,"(-2.8115711212158203, -19.3920841217041, 776.3919067382812)","(0.5001867413520813, 0.5276954770088196, 0.7532781958580017)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666021,0.8626003861427307,0.09745817631483078
11104819285,678793483734,"(0.8655089139938354, 0.08653906732797623)","(134.36898803710938, 194.36195373535156, 62.696083068847656)",1,4.146820068359375,1,"(-2.8879103660583496, -19.26035499572754, 776.3977661132812)","(0.5003243684768677, 0.5273715257644653, 0.7532839179039001)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666032,0.8655089139938354,0.08653906732797623
11104830388,678793494837,"(0.8662864565849304, 0.08891209959983826)","(134.65481567382812, 193.90084838867188, 62.52824783325195)",1,4.14788818359375,1,"(-4.244767189025879, -19.22673225402832, 776.3408813476562)","(0.5028113126754761, 0.5272623300552368, 0.7531810402870178)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666042,0.8662864565849304,0.08891209959983826
11104841491,678793505940,"(0.8707207441329956, 0.08195559680461884)","(136.2849884033203, 195.2526092529297, 63.020198822021484)",1,4.1645050048828125,1,"(-4.818905353546143, -19.153961181640625, 776.3771362304688)","(0.5038620233535767, 0.5270693898200989, 0.7532567381858826)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666053,0.8707207441329956,0.08195559680461884
11104852594,678793517043,"(0.8688027262687683, 0.09213928878307343)","(135.57986450195312, 193.27377319335938, 62.29994583129883)",1,4.1733551025390625,1,"(-5.167850494384766, -19.06609344482422, 776.3790283203125)","(0.5045000910758972, 0.5268467664718628, 0.7532604932785034)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666086,0.8688027262687683,0.09213928878307343
11104863697,678793528146,"(0.8702410459518433, 0.09134459495544434)","(136.10862731933594, 193.42820739746094, 62.35616683959961)",1,4.185272216796875,1,"(-6.326514720916748, -18.946258544921875, 776.1439208984375)","(0.5066254138946533, 0.5265418291091919, 0.752801775932312)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666086,0.8702410459518433,0.09134459495544434
11104874801,678793539248,"(0.8701839447021484, 0.09559161216020584)","(136.0876007080078, 192.6029052734375, 62.055877685546875)",1,4.19744873046875,1,"(-6.95454216003418, -18.831897735595703, 776.0819091796875)","(0.5077760219573975, 0.5262518525123596, 0.7526829838752747)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666087,0.8701839447021484,0.09559161216020584
11104885904,678793550348,"(0.8710259795188904, 0.09730184823274612)","(136.39715576171875, 192.2705841064453, 61.93491744995117)",1,4.2078399658203125,1,"(-7.034338474273682, -21.031923294067383, 775.9915161132812)","(0.5079607367515564, 0.5316340327262878, 0.7526167035102844)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666102,0.8710259795188904,0.09730184823274612
11104897007,678793561449,"(0.852425217628479, 0.13573916256427765)","(129.55917358398438, 184.80166625976562, 59.2164421081543)",1,4.205413818359375,1,"(-8.741203308105469, -18.86435890197754, 775.657958984375)","(0.511061429977417, 0.5263161659240723, 0.7518731951713562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666109,0.852425217628479,0.13573916256427765
11104908110,678793572550,"(0.778316080570221, 0.26956862211227417)","(102.31527709960938, 158.79661560058594, 49.75135803222656)",1,4.2307281494140625,1,"(-9.626180648803711, -18.743467330932617, 774.86572265625)","(0.5127013921737671, 0.5260472297668457, 0.7503043413162231)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666120,0.778316080570221,0.26956862211227417
11104919213,678793583651,"(0.7579020857810974, 0.3041556775569916)","(94.81072235107422, 152.07582092285156, 47.3051872253418)",1,4.2249603271484375,1,"(-10.33486270904541, -19.385183334350586, 774.8302612304688)","(0.514014482498169, 0.5276045799255371, 0.7502833008766174)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666130,0.7579020857810974,0.3041556775569916
11104930316,678793594754,"(0.7096583247184753, 0.38346976041793823)","(77.0754165649414, 136.66392517089844, 41.69570541381836)",1,4.26007080078125,1,"(-11.819395065307617, -18.670475006103516, 774.6027221679688)","(0.5167354345321655, 0.5258345603942871, 0.7498356699943542)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666142,0.7096583247184753,0.38346976041793823
11104941419,678793605857,"(0.5884571075439453, 0.5242515206336975)","(32.51961135864258, 109.30799102783203, 31.738901138305664)",1,4.259796142578125,1,"(-12.656285285949707, -18.52973175048828, 774.2815551757812)","(0.5182802081108093, 0.5254897475242615, 0.7492133975028992)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706267666153,0.5884571075439453,0.5242515206336975
