key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,10:51:09
Frame Index Range:,0 - 1666
Relative Time Range,00:00.000 - 01:28.453
Absolute Time Range,339974.126667 - 340062.580117
