key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,16:28:19
Frame Index Range:,0 - 1034
Relative Time Range,00:00.000 - 01:00.404
Absolute Time Range,70221.339901 - 70281.74419499999
