key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,09:49:52
Frame Index Range:,0 - 1226
Relative Time Range,00:00.000 - 01:01.757
Absolute Time Range,194675.838555 - 194737.595833
