timestamp,event,device
0,enter,SCREEN
2548,quit,SCREEN
3451,enter,TABLE
3598,quit,TABLE
3689,enter,SCREEN
4727,quit,SCREEN
4823,enter,SCREEN
5541,quit,SCREEN
5591,enter,TABLE
6463,quit,TABLE
6585,enter,SCREEN
7655,quit,SCREEN
7704,enter,TABLE
8127,quit,TABLE
8127,enter,SCREEN
8899,quit,SCREEN
8936,enter,TABLE
9022,quit,TABLE
9066,enter,TABLE
10249,quit,TABLE
10318,enter,SCREEN
11891,quit,SCREEN
11999,enter,TABLE
12092,quit,TABLE
12145,enter,SCREEN
12310,quit,SCREEN
12721,enter,TABLE
13652,quit,TABLE
14361,enter,SCREEN
16296,quit,SCREEN
16569,enter,TABLE
17193,quit,TABLE
17369,grasp,BLOCK
17440,enter,SCREEN
19316,quit,SCREEN
19560,enter,TABLE
19705,quit,TABLE
19819,enter,TABLE
19908,quit,TABLE
20019,enter,TABLE
20117,quit,TABLE
20117,enter,SCREEN
21204,quit,SCREEN
21396,enter,TABLE
22563,release,BLOCK
22623,quit,TABLE
