timestamp,distance
13,nan
31,nan
46,nan
64,nan
79,nan
97,nan
115,nan
127,nan
145,nan
160,nan
177,nan
195,nan
210,nan
225,nan
243,nan
261,nan
273,nan
291,nan
306,nan
324,nan
339,nan
357,nan
371,nan
389,nan
404,nan
419,nan
434,nan
455,nan
469,nan
487,nan
501,nan
519,nan
534,nan
554,nan
566,nan
583,nan
597,nan
615,nan
632,nan
647,nan
662,nan
680,nan
695,nan
716,nan
727,nan
744,nan
759,nan
780,nan
792,nan
810,nan
825,nan
843,nan
861,nan
876,nan
891,nan
914,nan
923,nan
941,nan
956,nan
973,nan
988,nan
1006,nan
1021,nan
1036,nan
1051,nan
1069,nan
1084,nan
1102,nan
1117,nan
1135,nan
1149,nan
1167,nan
1182,nan
1200,nan
1214,nan
1232,nan
1247,nan
1265,nan
1280,nan
1295,nan
1315,nan
1330,nan
1344,nan
1361,nan
1376,nan
1393,nan
1408,nan
1426,nan
1441,nan
1465,nan
1474,nan
1491,nan
1505,nan
1526,nan
1538,nan
1556,nan
1574,nan
1589,nan
1606,nan
1624,nan
1636,nan
1653,nan
1671,nan
1686,nan
1701,nan
1722,nan
1734,nan
1751,nan
1769,nan
1784,nan
1796,nan
1814,nan
1831,nan
1846,nan
1864,nan
1882,nan
1894,nan
1915,nan
1927,nan
1945,nan
1960,nan
1981,nan
1993,nan
2011,nan
2026,nan
2044,nan
2059,nan
2076,nan
2091,nan
2106,nan
2124,nan
2142,nan
2156,nan
2174,nan
2189,nan
2206,nan
2221,nan
2236,nan
2254,nan
2269,nan
2287,nan
2302,nan
2319,nan
2336,nan
2350,nan
2371,nan
2383,nan
2397,nan
2415,nan
2432,nan
2447,nan
2465,nan
2480,nan
2497,nan
2518,nan
2530,nan
2545,nan
2563,nan
2580,nan
2595,nan
2610,nan
2625,nan
2642,nan
2660,nan
2675,nan
2692,nan
2706,nan
2724,nan
2742,nan
2757,nan
2772,nan
2793,nan
2804,nan
2819,nan
2837,nan
2855,nan
2870,nan
2891,5.242904095590686
2903,5.356398728688123
2926,6.077164542017319
2938,6.023200926368928
2956,6.016977886133158
2968,6.450530525631345
2986,6.269723771154431
3001,6.047049194341007
3019,2.461144680957863
3033,4.53762032847249
3049,2.8998908904969767
3064,3.446442214028675
3082,3.128676558108968
3100,2.2944693340434066
3112,3.063593181014035
3129,2.8217942786712005
3147,1.5691711807227557
3165,2.5563334538181546
3180,2.125042452439436
3198,1.8057838748232231
3213,2.4142728373683684
3228,2.947131708732355
3249,2.9552974712622415
3260,3.1252999653787645
3277,3.2278344928888894
3292,3.9608161923857947
3310,2.7942890752669696
3325,3.653808107724448
3343,3.6399759219843912
3357,4.052714019659562
3374,4.817629403163862
3392,4.520343989319865
3407,2.5475245032826273
3422,3.1452764075768034
3439,3.0183495737482438
3454,3.135794224345524
3472,3.8964955648574398
3486,4.306020119028233
3507,3.852178819199442
3521,3.4596302594457837
3535,3.723000684328811
3553,4.158098705621778
3568,4.158738706759496
3583,4.476655118790927
3601,3.906705791797592
3618,4.090488935176125
3633,4.338944919699503
3648,4.318670493216147
3666,4.359055249797785
3680,2.440658843462931
3704,4.664177687960008
3713,2.8003811972552355
3728,4.0341634243248805
3746,3.736821372300521
3764,2.161831048205786
3779,1.0387480867412622
3797,1.2072456079106646
3812,1.0448057859924964
3827,1.6698998205347466
3847,2.0610598165332275
3858,2.924017084781514
3876,3.3919162682619572
3891,3.5098854916962368
3909,3.448793895713977
3924,3.354067264734972
3941,4.017209507143037
3956,3.8515872003419385
3977,-1.5884170924710703
3989,1.8472556169157544
4007,1.7657128231056356
4022,4.105301992333401
4039,6.862247130175178
4068,6.361074015477974
4080,nan
4095,11.254585191468717
4104,nan
4122,nan
4134,nan
