key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:46:16
Frame Index Range:,0 - 755
Relative Time Range,00:00.000 - 00:40.699
Absolute Time Range,360853.460466 - 360894.160085
