key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:10:06
Frame Index Range:,0 - 1667
Relative Time Range,00:00.000 - 01:02.048
Absolute Time Range,245800.327252 - 245862.375458
