key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:34:34
Frame Index Range:,0 - 894
Relative Time Range,00:00.000 - 00:47.044
Absolute Time Range,864783.1175210001 - 864830.162046
