key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,09:54:06
Frame Index Range:,0 - 2038
Relative Time Range,00:00.000 - 01:50.470
Absolute Time Range,367808.246805 - 367918.716839
