key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,10.01.2024
Export Time,13:37:49
Frame Index Range:,0 - 1041
Relative Time Range,00:00.000 - 00:39.591
Absolute Time Range,71989.32495099999 - 72028.916162
