key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:44:22
Frame Index Range:,0 - 2985
Relative Time Range,00:00.000 - 02:01.632
Absolute Time Range,436772.629264 - 436894.262
