timestamp,event,device
46,enter,TABLE
986,quit,TABLE
1141,enter,SCREEN
1292,quit,SCREEN
1293,enter,TABLE
1307,quit,TABLE
1308,enter,SCREEN
1329,quit,SCREEN
1330,enter,TABLE
1335,quit,TABLE
1336,enter,SCREEN
1359,quit,SCREEN
1360,enter,TABLE
1368,quit,TABLE
1369,enter,SCREEN
1427,quit,SCREEN
1428,enter,TABLE
1440,quit,TABLE
1441,enter,SCREEN
1456,quit,SCREEN
1457,enter,TABLE
1459,quit,TABLE
1460,enter,SCREEN
1523,quit,SCREEN
1524,enter,TABLE
1524,quit,TABLE
1525,enter,SCREEN
1669,quit,SCREEN
1670,enter,TABLE
1680,quit,TABLE
1681,enter,SCREEN
1733,quit,SCREEN
1734,enter,TABLE
1735,quit,TABLE
1736,enter,SCREEN
1748,quit,SCREEN
1749,enter,TABLE
1759,quit,TABLE
1760,enter,SCREEN
1846,quit,SCREEN
1847,enter,TABLE
1874,quit,TABLE
1875,enter,SCREEN
1914,quit,SCREEN
1915,enter,TABLE
1924,quit,TABLE
1925,enter,SCREEN
1944,quit,SCREEN
1945,enter,TABLE
1946,quit,TABLE
1947,enter,SCREEN
2072,quit,SCREEN
2073,enter,TABLE
2080,quit,TABLE
2081,enter,SCREEN
2121,quit,SCREEN
2122,enter,TABLE
2124,quit,TABLE
2125,enter,SCREEN
2204,quit,SCREEN
2205,enter,TABLE
2213,quit,TABLE
2214,enter,SCREEN
2221,quit,SCREEN
2222,enter,TABLE
2224,quit,TABLE
2225,enter,SCREEN
2236,quit,SCREEN
2237,enter,TABLE
2246,quit,TABLE
2247,enter,SCREEN
2251,quit,SCREEN
2252,enter,TABLE
2257,quit,TABLE
2258,enter,SCREEN
2900,quit,SCREEN
2901,enter,TABLE
2907,quit,TABLE
2908,enter,SCREEN
2999,quit,SCREEN
3000,enter,TABLE
3001,quit,TABLE
3002,enter,SCREEN
3046,quit,SCREEN
3047,enter,TABLE
3060,quit,TABLE
3061,enter,SCREEN
3127,quit,SCREEN
3178,enter,TABLE
4206,grasp,BLOCK
6844,quit,TABLE
6990,enter,SCREEN
7086,quit,SCREEN
7087,enter,TABLE
7096,quit,TABLE
7097,enter,SCREEN
7114,release,BLOCK
7174,quit,SCREEN
