key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.01.2024
Export Time,11:16:32
Frame Index Range:,0 - 1445
Relative Time Range,00:00.000 - 01:11.432
Absolute Time Range,235551.836691 - 235623.269121
