timestamp,event,device
415,enter,TABLE
724,quit,TABLE
891,enter,TABLE
980,quit,TABLE
1071,enter,TABLE
1172,quit,TABLE
1646,enter,TABLE
1698,quit,TABLE
1699,enter,SCREEN
1807,quit,SCREEN
1860,enter,TABLE
1965,quit,TABLE
2018,enter,TABLE
2070,quit,TABLE
2071,enter,SCREEN
2204,quit,SCREEN
2205,enter,TABLE
2307,quit,TABLE
2308,enter,SCREEN
2361,quit,SCREEN
2362,enter,TABLE
2463,quit,TABLE
2464,enter,SCREEN
2515,quit,SCREEN
2516,enter,TABLE
2622,quit,TABLE
2622,enter,SCREEN
2671,quit,SCREEN
2672,enter,TABLE
2722,quit,TABLE
2723,enter,SCREEN
2774,quit,SCREEN
2775,enter,TABLE
2865,quit,TABLE
3085,enter,TABLE
3516,grasp,BLOCK
4470,quit,TABLE
4631,enter,TABLE
4726,quit,TABLE
4726,enter,SCREEN
4893,quit,SCREEN
4948,enter,TABLE
5049,quit,TABLE
5192,release,BLOCK
