key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:39:36
Frame Index Range:,0 - 2083
Relative Time Range,00:00.000 - 01:26.011
Absolute Time Range,436507.322339 - 436593.334229
