key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.01.2024
Export Time,16:06:53
Frame Index Range:,0 - 1091
Relative Time Range,00:00.000 - 00:44.200
Absolute Time Range,-819173.498012 - -819129.2970769999
