key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:02:49
Frame Index Range:,0 - 1553
Relative Time Range,00:00.000 - 00:59.768
Absolute Time Range,431837.490308 - 431897.258587
