key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,10.01.2024
Export Time,15:05:21
Frame Index Range:,0 - 991
Relative Time Range,00:00.000 - 00:52.199
Absolute Time Range,75452.992099 - 75505.19148299999
