row,non_zero_column
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,[]
23,[]
24,[]
25,[]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[]
32,[]
33,[]
34,[]
35,[]
36,[]
37,[]
38,[]
39,[]
40,[]
41,[]
42,[]
43,[]
44,[]
45,[]
46,[]
47,[]
48,[158]
49,[]
50,[]
51,[]
52,[]
53,[]
54,[]
55,[]
56,[259]
57,[]
58,[]
59,[]
60,[]
61,[]
62,[341]
63,[]
64,[]
65,[]
66,[275]
67,"[282, 299]"
68,"[283, 286, 299]"
69,[301]
70,[]
71,[]
72,"[299, 302]"
73,[]
74,[]
75,[]
76,[]
77,[]
78,[294]
79,"[62, 291]"
80,[14]
81,[244]
82,[]
83,[]
84,[340]
85,[328]
86,[]
87,[304]
88,[]
89,[]
90,[258]
91,"[303, 306]"
92,"[57, 304]"
93,"[274, 305]"
94,[301]
95,[308]
96,[]
97,"[192, 304, 324]"
98,[237]
99,[222]
100,"[223, 340]"
101,[]
102,[]
103,[]
104,[]
105,[]
106,"[242, 339]"
107,[]
108,[]
109,[]
110,[232]
111,[]
112,[231]
113,[342]
114,"[237, 269, 272]"
115,[]
116,[280]
117,[355]
118,[245]
119,[]
120,[]
121,[]
122,"[203, 209, 253, 351]"
123,[359]
124,[315]
125,"[214, 215, 309, 338]"
126,"[209, 347]"
127,"[214, 322]"
128,"[209, 218]"
129,[304]
130,"[212, 235, 293, 314]"
131,"[222, 295]"
132,[]
133,[]
134,"[217, 295]"
135,"[301, 316, 353]"
136,"[299, 305, 350]"
137,"[219, 293, 302, 350]"
138,"[299, 301, 353]"
139,"[334, 349, 355]"
140,"[300, 322, 326, 327, 351]"
141,"[224, 227, 324, 353]"
142,"[307, 322, 323, 324, 327, 359]"
143,"[324, 328, 349]"
144,"[320, 323, 330, 340]"
145,"[216, 222, 223, 348]"
146,"[219, 231, 243, 258, 307, 340, 348, 352]"
147,"[216, 306, 339, 344, 348]"
148,"[211, 213, 218, 222, 229, 230, 233, 287, 344]"
149,"[25, 222, 223, 224, 228, 230, 233, 235, 236, 237, 284, 344]"
150,"[223, 234, 342]"
151,"[220, 222, 224, 229, 230, 231, 339, 340, 341, 344]"
152,"[227, 328, 333, 339, 342]"
153,"[224, 312, 317, 326, 331, 332, 338, 341, 343]"
154,"[310, 330, 331, 344]"
155,"[195, 331, 332, 333]"
156,"[229, 330, 346]"
157,"[302, 324, 327]"
158,"[332, 337, 345]"
159,"[337, 363]"
160,[]
161,[328]
162,[]
163,[340]
164,[]
165,[344]
166,[306]
167,[182]
168,[328]
169,[]
170,"[303, 348, 353, 354]"
171,[]
172,"[307, 309]"
173,"[303, 318]"
