key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:45:40
Frame Index Range:,0 - 887
Relative Time Range,00:00.000 - 00:47.717
Absolute Time Range,360744.814288 - 360792.532183
