key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.01.2024
Export Time,16:11:08
Frame Index Range:,0 - 1488
Relative Time Range,00:00.000 - 00:57.614
Absolute Time Range,-818667.925754 - -818610.3109289999
