key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:14:33
Frame Index Range:,0 - 1258
Relative Time Range,00:00.000 - 00:49.725
Absolute Time Range,-906668.386507 - -906618.661381
