key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,16:13:11
Frame Index Range:,0 - 1384
Relative Time Range,00:00.000 - 00:53.357
Absolute Time Range,353972.339221 - 354025.696902
