key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:54:43
Frame Index Range:,0 - 902
Relative Time Range,00:00.000 - 00:46.430
Absolute Time Range,260107.277409 - 260153.707573
