timestamp,x,y,device,idx_table
1706090465479,nan,nan,Device.NO_DEVICE,1706090464702
1706090465486,nan,nan,Device.NO_DEVICE,1706090464702
1706090465491,nan,nan,Device.NO_DEVICE,1706090464702
1706090465501,nan,nan,2,1706090464702
1706090465513,nan,nan,Device.NO_DEVICE,1706090464702
1706090465521,nan,nan,Device.NO_DEVICE,1706090464702
1706090465525,nan,nan,Device.NO_DEVICE,1706090464702
1706090465536,nan,nan,Device.NO_DEVICE,1706090464702
1706090465554,nan,nan,Device.NO_DEVICE,1706090464702
1706090465564,nan,nan,Device.NO_DEVICE,1706090464702
1706090465565,nan,nan,Device.NO_DEVICE,1706090464702
1706090465566,nan,nan,Device.NO_DEVICE,1706090464702
1706090465568,nan,nan,Device.NO_DEVICE,1706090464702
1706090465581,nan,nan,Device.NO_DEVICE,1706090464702
1706090465584,nan,nan,Device.NO_DEVICE,1706090464702
1706090465592,nan,nan,Device.NO_DEVICE,1706090464702
1706090465602,nan,nan,2,1706090464702
1706090465613,nan,nan,Device.NO_DEVICE,1706090464702
1706090465617,nan,nan,Device.NO_DEVICE,1706090464702
1706090465625,nan,nan,Device.NO_DEVICE,1706090464702
1706090465629,nan,nan,Device.NO_DEVICE,1706090464702
1706090465635,nan,nan,Device.NO_DEVICE,1706090464702
1706090465646,nan,nan,Device.NO_DEVICE,1706090464702
1706090465647,nan,nan,Device.NO_DEVICE,1706090464702
1706090465658,nan,nan,Device.NO_DEVICE,1706090464702
1706090465663,nan,nan,Device.NO_DEVICE,1706090464702
1706090465668,nan,nan,Device.NO_DEVICE,1706090464702
1706090465681,nan,nan,Device.NO_DEVICE,1706090464702
1706090465696,nan,nan,Device.NO_DEVICE,1706090464702
1706090465705,nan,nan,Device.NO_DEVICE,1706090464702
1706090465706,nan,nan,Device.NO_DEVICE,1706090464702
1706090465714,nan,nan,2,1706090464702
1706090465725,nan,nan,Device.NO_DEVICE,1706090464702
1706090465726,nan,nan,Device.NO_DEVICE,1706090464702
1706090465737,nan,nan,Device.NO_DEVICE,1706090464702
1706090465747,nan,nan,2,1706090464702
1706090465758,nan,nan,Device.NO_DEVICE,1706090464702
1706090465759,nan,nan,Device.NO_DEVICE,1706090464702
1706090465768,nan,nan,Device.NO_DEVICE,1706090464702
1706090465776,nan,nan,Device.NO_DEVICE,1706090464702
1706090465780,nan,nan,Device.NO_DEVICE,1706090464702
1706090465790,nan,nan,Device.NO_DEVICE,1706090464702
1706090465792,nan,nan,Device.NO_DEVICE,1706090464702
1706090465802,nan,nan,Device.NO_DEVICE,1706090464702
1706090465811,nan,nan,Device.NO_DEVICE,1706090464702
1706090465814,nan,nan,Device.NO_DEVICE,1706090464702
1706090465825,nan,nan,Device.NO_DEVICE,1706090464702
1706090465826,nan,nan,Device.NO_DEVICE,1706090464702
1706090465841,nan,nan,Device.NO_DEVICE,1706090464702
1706090465858,nan,nan,Device.NO_DEVICE,1706090464702
1706090465859,nan,nan,2,1706090464702
1706090465874,nan,nan,2,1706090464702
1706090465880,nan,nan,Device.NO_DEVICE,1706090464702
1706090465892,nan,nan,2,1706090464702
1706090465901,nan,nan,Device.NO_DEVICE,1706090464702
1706090465910,nan,nan,Device.NO_DEVICE,1706090464702
1706090465913,nan,nan,Device.NO_DEVICE,1706090464702
1706090465922,nan,nan,Device.NO_DEVICE,1706090464702
1706090465924,nan,nan,Device.NO_DEVICE,1706090464702
1706090465935,nan,nan,Device.NO_DEVICE,1706090464702
1706090465939,nan,nan,Device.NO_DEVICE,1706090464702
1706090465946,nan,nan,Device.NO_DEVICE,1706090464702
1706090465957,nan,nan,Device.NO_DEVICE,1706090464702
1706090465958,nan,nan,Device.NO_DEVICE,1706090464702
1706090465968,nan,nan,Device.NO_DEVICE,1706090464702
1706090465974,nan,nan,Device.NO_DEVICE,1706090464702
1706090465989,nan,nan,Device.NO_DEVICE,1706090464702
1706090466010,nan,nan,Device.NO_DEVICE,1706090464702
1706090466024,nan,nan,Device.NO_DEVICE,1706090464702
1706090466025,nan,nan,Device.NO_DEVICE,1706090464702
1706090466026,nan,nan,Device.NO_DEVICE,1706090464702
1706090466035,nan,nan,Device.NO_DEVICE,1706090464702
1706090466038,nan,nan,Device.NO_DEVICE,1706090464702
1706090466047,nan,nan,Device.NO_DEVICE,1706090464702
1706090466056,nan,nan,Device.NO_DEVICE,1706090464702
1706090466058,nan,nan,Device.NO_DEVICE,1706090464702
1706090466069,nan,nan,Device.NO_DEVICE,1706090464702
1706090466073,nan,nan,Device.NO_DEVICE,1706090464702
1706090466080,nan,nan,Device.NO_DEVICE,1706090464702
1706090466085,nan,nan,Device.NO_DEVICE,1706090464702
1706090466092,nan,nan,Device.NO_DEVICE,1706090464702
1706090466102,nan,nan,2,1706090464702
1706090466114,nan,nan,Device.NO_DEVICE,1706090464702
1706090466117,nan,nan,Device.NO_DEVICE,1706090464702
1706090466125,nan,nan,Device.NO_DEVICE,1706090464702
1706090466135,nan,nan,Device.NO_DEVICE,1706090464702
1706090466138,nan,nan,Device.NO_DEVICE,1706090464702
1706090466153,nan,nan,Device.NO_DEVICE,1706090464702
1706090466155,nan,nan,Device.NO_DEVICE,1706090464702
1706090466168,nan,nan,Device.NO_DEVICE,1706090464702
1706090466181,nan,nan,Device.NO_DEVICE,1706090464702
1706090466182,nan,nan,Device.NO_DEVICE,1706090464702
1706090466183,nan,nan,Device.NO_DEVICE,1706090464702
1706090466197,nan,nan,Device.NO_DEVICE,1706090464702
1706090466201,nan,nan,Device.NO_DEVICE,1706090464702
1706090466202,nan,nan,Device.NO_DEVICE,1706090464702
1706090466214,nan,nan,Device.NO_DEVICE,1706090464702
1706090466221,nan,nan,Device.NO_DEVICE,1706090464702
1706090466225,nan,nan,Device.NO_DEVICE,1706090464702
1706090466230,nan,nan,Device.NO_DEVICE,1706090464702
1706090466235,nan,nan,Device.NO_DEVICE,1706090464702
1706090466245,nan,nan,Device.NO_DEVICE,1706090464702
1706090466247,nan,nan,Device.NO_DEVICE,1706090464702
1706090466258,nan,nan,Device.NO_DEVICE,1706090464702
1706090466263,nan,nan,Device.NO_DEVICE,1706090464702
1706090466269,nan,nan,Device.NO_DEVICE,1706090464702
1706090466281,nan,nan,2,1706090464702
1706090466292,nan,nan,Device.NO_DEVICE,1706090464702
1706090466299,nan,nan,Device.NO_DEVICE,1706090464702
1706090466310,nan,nan,Device.NO_DEVICE,1706090464702
1706090466314,nan,nan,Device.NO_DEVICE,1706090464702
1706090466332,nan,nan,Device.NO_DEVICE,1706090464702
1706090466344,nan,nan,Device.NO_DEVICE,1706090464702
1706090466347,nan,nan,Device.NO_DEVICE,1706090464702
1706090466348,nan,nan,Device.NO_DEVICE,1706090464702
1706090466365,nan,nan,Device.NO_DEVICE,1706090464702
1706090466370,nan,nan,Device.NO_DEVICE,1706090464702
1706090466377,nan,nan,Device.NO_DEVICE,1706090464702
1706090466383,nan,nan,Device.NO_DEVICE,1706090464702
1706090466392,nan,nan,Device.NO_DEVICE,1706090464702
1706090466394,nan,nan,Device.NO_DEVICE,1706090464702
