key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,16:42:45
Frame Index Range:,0 - 1026
Relative Time Range,00:00.000 - 00:54.245
Absolute Time Range,84714.68854199999 - 84768.93439299999
