timestamp,event,device
0,enter,TABLE
103,quit,TABLE
325,enter,SCREEN
562,quit,SCREEN
683,enter,SCREEN
739,quit,SCREEN
740,enter,TABLE
910,quit,TABLE
968,enter,TABLE
1135,quit,TABLE
1135,enter,SCREEN
1191,quit,SCREEN
1192,enter,TABLE
1244,quit,TABLE
1245,enter,SCREEN
1343,quit,SCREEN
1389,enter,TABLE
1729,quit,TABLE
1791,enter,TABLE
1850,grasp,BLOCK
1907,quit,TABLE
1907,enter,SCREEN
2019,quit,SCREEN
2020,enter,TABLE
2138,quit,TABLE
2510,enter,TABLE
3649,release,BLOCK
3709,quit,TABLE
