key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:06:19
Frame Index Range:,0 - 1789
Relative Time Range,00:00.000 - 01:12.357
Absolute Time Range,84359.90633099999 - 84432.26366299999
