key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:35:06
Frame Index Range:,0 - 671
Relative Time Range,00:00.000 - 00:37.177
Absolute Time Range,864606.964504 - 864644.1420150001
