timestamp,distance
0,nan
53,nan
106,nan
166,29.639124625764616
219,nan
273,nan
326,nan
385,nan
445,nan
506,nan
565,nan
621,nan
680,nan
741,nan
801,nan
853,nan
905,nan
960,21.169386277792874
1015,18.945146237740317
1073,18.447197234430966
1129,19.859963323032947
1185,20.505735962227543
1242,21.385720022477297
1299,16.446195279442556
1356,16.044190500994812
1415,16.10343409786517
1472,16.610690729784384
1529,17.753567521891018
1587,30.214440403207334
1643,35.645390315691145
1700,nan
1757,nan
1812,nan
1867,nan
1923,nan
1978,nan
2032,nan
2089,nan
2148,nan
2204,nan
2258,nan
2306,18.009859205709056
2351,nan
2401,17.853074731065625
2449,nan
2500,4.457339622688836
2556,2.7344171748027875
2609,-0.40989739006132647
2666,-1.140850120253215
2726,-1.4523981372538448
2780,-1.2611797929979844
2835,-1.080377029654652
2891,-1.157304744078374
2944,-1.564621174580761
2996,-1.5854579650917653
3048,-1.6196754967585532
3098,0.9739200426469617
3150,1.0251071370483806
3200,1.8867909464031392
3251,1.6700608883326216
3305,1.6408220276093382
3357,4.807785989430059
3412,2.3394061690130252
3462,15.967952310219255
3515,nan
3568,nan
3616,nan
3672,nan
3727,nan
3784,nan
3840,nan
