key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,17.01.2024
Export Time,12:00:04
Frame Index Range:,0 - 1023
Relative Time Range,00:00.000 - 00:52.229
Absolute Time Range,425246.864153 - 425299.093193
