timestamp,event,device
0,enter,TABLE
1096,quit,TABLE
1148,enter,SCREEN
1203,quit,SCREEN
1204,enter,TABLE
1324,quit,TABLE
1324,enter,SCREEN
1562,quit,SCREEN
1744,enter,TABLE
2357,quit,TABLE
2592,enter,SCREEN
2866,quit,SCREEN
2928,enter,SCREEN
3047,quit,SCREEN
3161,enter,SCREEN
3447,quit,SCREEN
3923,enter,TABLE
4905,grasp,BLOCK
6480,quit,TABLE
6779,enter,SCREEN
7014,quit,SCREEN
7015,enter,TABLE
7074,quit,TABLE
7075,enter,SCREEN
7200,quit,SCREEN
7201,enter,TABLE
7262,quit,TABLE
7324,enter,SCREEN
7452,quit,SCREEN
7643,enter,TABLE
8752,release,BLOCK
8812,quit,TABLE
