key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.01.2024
Export Time,10:00:25
Frame Index Range:,0 - 1909
Relative Time Range,00:00.000 - 01:40.593
Absolute Time Range,231375.483362 - 231476.076668
