timestamp,event,device
104,enter,SCREEN
136,quit,SCREEN
137,enter,TABLE
137,quit,TABLE
138,enter,SCREEN
747,quit,SCREEN
804,enter,TABLE
865,quit,TABLE
1662,enter,TABLE
1726,quit,TABLE
1743,enter,SCREEN
2017,quit,SCREEN
2018,enter,TABLE
2048,quit,TABLE
2049,enter,SCREEN
2928,quit,SCREEN
3216,enter,TABLE
4204,grasp,BLOCK
4864,quit,TABLE
4942,enter,SCREEN
5150,quit,SCREEN
5153,enter,SCREEN
5420,quit,SCREEN
5457,enter,TABLE
5523,quit,TABLE
5636,enter,TABLE
7153,quit,TABLE
7180,enter,TABLE
7243,quit,TABLE
7275,enter,TABLE
7289,release,BLOCK
7349,quit,TABLE
