timestamp,x,y
1706191856206,nan,nan
1706191856224,nan,nan
1706191856242,nan,nan
1706191856257,nan,nan
1706191856272,nan,nan
1706191856290,nan,nan
1706191856302,nan,nan
1706191856326,nan,nan
1706191856338,nan,nan
1706191856353,nan,nan
1706191856368,nan,nan
1706191856386,nan,nan
1706191856400,nan,nan
1706191856418,nan,nan
1706191856435,nan,nan
1706191856450,nan,nan
1706191856465,nan,nan
1706191856489,nan,nan
1706191856498,nan,nan
1706191856515,nan,nan
1706191856530,nan,nan
1706191856548,nan,nan
1706191856563,nan,nan
1706191856581,nan,nan
1706191856596,nan,nan
1706191856611,nan,nan
1706191856628,nan,nan
1706191856649,nan,nan
1706191856661,nan,nan
1706191856676,nan,nan
1706191856694,nan,nan
1706191856712,nan,nan
1706191856729,nan,nan
1706191856744,nan,nan
1706191856759,nan,nan
1706191856774,nan,nan
1706191856792,nan,nan
1706191856809,nan,nan
1706191856824,nan,nan
1706191856842,nan,nan
1706191856854,nan,nan
1706191856872,nan,nan
1706191856887,nan,nan
1706191856904,nan,nan
1706191856922,nan,nan
1706191856937,nan,nan
1706191856952,nan,nan
1706191856970,nan,nan
1706191856985,nan,nan
1706191857005,nan,nan
1706191857017,nan,nan
1706191857035,nan,nan
1706191857050,nan,nan
1706191857068,nan,nan
1706191857083,nan,nan
1706191857104,nan,nan
1706191857116,nan,nan
1706191857134,nan,nan
1706191857152,nan,nan
1706191857167,nan,nan
1706191857182,nan,nan
1706191857198,nan,nan
1706191857215,nan,nan
1706191857233,nan,nan
1706191857251,nan,nan
1706191857268,nan,nan
1706191857277,nan,nan
1706191857301,nan,nan
1706191857313,nan,nan
1706191857328,nan,nan
1706191857346,nan,nan
1706191857364,nan,nan
1706191857373,nan,nan
1706191857391,nan,nan
1706191857409,nan,nan
1706191857423,nan,nan
1706191857438,nan,nan
1706191857459,nan,nan
1706191857474,nan,nan
1706191857489,nan,nan
1706191857506,nan,nan
1706191857524,nan,nan
1706191857539,nan,nan
1706191857554,nan,nan
1706191857569,nan,nan
1706191857592,nan,nan
1706191857607,29.145198153203104,29.29024350934673
1706191857619,29.149812969053766,29.29039396471405
1706191857637,29.149769256903518,29.29040210677279
1706191857652,nan,nan
1706191857666,nan,nan
1706191857681,nan,nan
1706191857696,nan,nan
1706191857714,nan,nan
1706191857729,nan,nan
1706191857747,nan,nan
1706191857764,nan,nan
1706191857779,nan,nan
1706191857797,nan,nan
1706191857812,nan,nan
1706191857827,nan,nan
1706191857854,nan,nan
1706191857860,nan,nan
1706191857875,nan,nan
1706191857890,nan,nan
1706191857911,nan,nan
1706191857926,nan,nan
1706191857941,nan,nan
1706191857956,nan,nan
1706191857976,nan,nan
1706191857988,nan,nan
1706191858005,nan,nan
1706191858022,nan,nan
1706191858040,nan,nan
1706191858055,nan,nan
1706191858073,nan,nan
1706191858091,nan,nan
1706191858106,nan,nan
1706191858120,nan,nan
1706191858135,nan,nan
1706191858153,nan,nan
1706191858171,nan,nan
1706191858183,nan,nan
1706191858201,nan,nan
1706191858219,nan,nan
1706191858234,nan,nan
1706191858249,nan,nan
1706191858269,nan,nan
1706191858284,nan,nan
1706191858296,nan,nan
1706191858320,nan,nan
1706191858332,nan,nan
1706191858347,nan,nan
1706191858362,nan,nan
1706191858380,nan,nan
1706191858398,nan,nan
1706191858413,nan,nan
1706191858431,nan,nan
1706191858446,nan,nan
1706191858461,nan,nan
1706191858479,nan,nan
1706191858494,nan,nan
1706191858508,nan,nan
1706191858528,nan,nan
1706191858542,nan,nan
1706191858559,nan,nan
1706191858574,nan,nan
1706191858592,nan,nan
1706191858607,nan,nan
1706191858625,nan,nan
1706191858640,nan,nan
1706191858655,nan,nan
1706191858672,nan,nan
1706191858690,nan,nan
1706191858707,nan,nan
1706191858722,nan,nan
1706191858740,nan,nan
1706191858757,nan,nan
1706191858771,nan,nan
1706191858792,nan,nan
1706191858804,nan,nan
1706191858819,nan,nan
1706191858837,nan,nan
1706191858855,nan,nan
1706191858867,nan,nan
1706191858888,nan,nan
1706191858900,nan,nan
1706191858918,nan,nan
1706191858935,nan,nan
1706191858950,nan,nan
1706191858962,nan,nan
1706191858983,nan,nan
1706191858998,nan,nan
1706191859016,nan,nan
1706191859030,nan,nan
1706191859048,nan,nan
1706191859060,nan,nan
1706191859087,nan,nan
1706191859093,nan,nan
1706191859111,nan,nan
1706191859126,nan,nan
1706191859147,nan,nan
1706191859160,nan,nan
1706191859175,nan,nan
1706191859193,nan,nan
1706191859211,nan,nan
1706191859238,nan,nan
1706191859244,nan,nan
1706191859256,nan,nan
1706191859274,nan,nan
1706191859289,nan,nan
1706191859309,nan,nan
1706191859321,nan,nan
1706191859342,nan,nan
1706191859353,nan,nan
1706191859373,nan,nan
1706191859388,nan,nan
1706191859405,nan,nan
1706191859417,nan,nan
1706191859435,nan,nan
1706191859450,nan,nan
1706191859471,nan,nan
1706191859483,nan,nan
1706191859504,nan,nan
1706191859516,nan,nan
1706191859534,nan,nan
1706191859552,nan,nan
1706191859567,nan,nan
1706191859579,nan,nan
1706191859597,nan,nan
1706191859615,nan,nan
1706191859630,nan,nan
1706191859648,nan,nan
1706191859663,nan,nan
1706191859678,nan,nan
1706191859702,nan,nan
1706191859711,nan,nan
1706191859729,nan,nan
1706191859744,nan,nan
1706191859760,nan,nan
1706191859775,nan,nan
1706191859792,nan,nan
1706191859807,nan,nan
1706191859834,nan,nan
1706191859843,29.147830650712066,29.29050696470377
1706191859858,29.1490508284747,29.290426109139425
1706191859873,29.148516314111017,29.290630063589067
1706191859890,29.14953018821319,29.28954370580705
1706191859908,29.14795542327976,29.28846365256384
1706191859925,29.149273055118396,29.287974187990436
1706191859940,29.149638164909675,29.288440347211758
1706191859955,29.14981699579248,29.289102538275074
1706191859973,29.14872969615168,29.288807503308302
1706191859988,29.15044639186751,29.288874131905576
1706191860003,29.148706272192165,29.288872875245254
1706191860019,29.148463233548778,29.28816976949198
1706191860036,29.14848589702348,29.28870107034335
1706191860054,29.148394006953957,29.288325018027386
1706191860069,29.148417639988764,29.28825147263064
1706191860084,29.15046193803189,29.28883327512368
1706191860102,29.148786445791565,29.288856585931242
1706191860117,29.149522024744964,29.28901241563122
1706191860134,29.14873172020215,29.289011844935366
1706191860149,29.149051578433188,29.288979381489078
1706191860164,29.149041610236818,29.289085631165154
1706191860179,29.149171910208764,29.289093898859612
1706191860197,29.14939939338383,29.28898780626232
1706191860215,29.149240091432723,29.28897951762047
1706191860230,nan,nan
1706191860245,25.01540849039377,32.419729680917996
1706191860263,12.865214435539418,15.903224561607233
1706191860281,6.899752646860027,11.687774491788613
1706191860299,nan,nan
1706191860314,29.12090476368669,29.32349286278877
1706191860329,29.158644294224093,29.31450421599611
1706191860341,nan,nan
1706191860359,nan,nan
1706191860373,nan,nan
1706191860391,nan,nan
1706191860409,nan,nan
1706191860424,nan,nan
1706191860438,nan,nan
1706191860459,nan,nan
1706191860473,nan,nan
1706191860488,nan,nan
1706191860506,nan,nan
1706191860520,nan,nan
1706191860538,nan,nan
1706191860553,nan,nan
1706191860571,nan,nan
