gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
-916396.36334,0,0.0,0.47511100008894136,0.3437969709817693,-916396.36334-1,-28.363082047384367,85.73196305236348,901.7952541950983,,,,,,,90.12402446410462,-395.9385630739783,838.9119507536595,-0.23697421302297797,0.9633410522526836,0.1257666068828776
-916396.354561,0,0.0,0.47511100008894136,0.3437969709817693,-916396.354561-1,-28.363082047384367,85.73196305236348,901.7952541950983,,,,,,,90.12402446410462,-395.9385630739783,838.9119507536595,-0.23697421302297797,0.9633410522526836,0.1257666068828776
-916396.347025,1,0.7089445129701366,0.2969794387956949,0.5769293563142042,-916396.347025-1,-198.44605244410673,-72.87193634596656,589.2015877172561,,,,,,,90.12402446410462,-395.9385630739783,838.9119507536595,-0.5771401538164227,0.6461332534560235,-0.49942072607280696
-916396.339221,1,0.0,0.47511100008894136,0.3437969709817693,-916396.339221-1,-28.363082047384367,85.73196305236348,901.7952541950983,,,,,,,90.12402446410462,-395.9385630739783,838.9119507536595,-0.23697421302297797,0.9633410522526836,0.1257666068828776
-916396.3273390001,1,0.732278523617436,0.2965935308130566,0.5769982866341428,-916396.3273390001-1,-199.06391710689218,-72.99537408343764,589.757317775363,,,,,,,90.12402446410462,-395.9385630739783,838.9119507536595,-0.5783758831419936,0.6458863779810813,-0.49830926595659303
-916396.319436,1,0.0,0.4753585987794959,0.3448959832361278,-916396.319436-1,-28.042998839543856,84.95401703134434,903.2170162222808,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.23688371259802835,0.9630864305562651,0.1278695975756829
-916396.311511,1,0.7023943662643433,0.2998135017226775,0.5704842543915645,-916396.311511-1,-196.3399470307652,-69.48866187350308,592.7338507721968,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.5734776089804711,0.6542010727465704,-0.49309673332448506
-916396.3034270001,2,0.0,0.4753585987794959,0.3448959832361278,-916396.3034270001-1,-28.042998839543856,84.95401703134434,903.2170162222808,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.23688371259802835,0.9630864305562651,0.1278695975756829
-916396.295398,2,0.0,0.4753585987794959,0.3448959832361278,-916396.295398-1,-28.042998839543856,84.95401703134434,903.2170162222808,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.23688371259802835,0.9630864305562651,0.1278695975756829
-916396.287333,2,0.8315429091453552,0.2710298555180465,0.6204413976108117,-916396.287333-1,-232.62745777968453,-101.00712580333712,597.8588587612396,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.6460526304783099,0.5911641448869023,-0.4828467173463995
-916396.279476,2,0.9047484993934631,0.24977863724410532,0.6667090451584419,-916396.279476-1,-263.6994360369108,-132.6259942641904,604.8940234352704,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.7081965869927622,0.5279264079651957,-0.4687763879983381
-916396.271344,2,0.7389675974845886,0.24979911409991779,0.6664654498135767,-916396.271344-1,-263.7467699440906,-132.51309118614418,605.0927977959055,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.7082912548071221,0.5281522141212881,-0.46837883927706775
-916396.2633100001,3,0.795345664024353,0.24979756939343095,0.6664992741560696,-916396.2633100001-1,-263.73679014544143,-132.5277635026734,605.0611642041006,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.7082712952098236,0.5281228694882297,-0.4684421064606777
-916396.255285,3,0.7514827251434326,0.24982794572667916,0.6663119015189871,-916396.255285-1,-263.73507947019664,-132.42965133317506,605.1692351180178,,,,,,,90.39885745947034,-396.58919824678827,839.2822174344393,-0.7082678738593339,0.5283190938272264,-0.4682259646328432
