key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:16:55
Frame Index Range:,0 - 1692
Relative Time Range,00:00.000 - 01:06.657
Absolute Time Range,-906446.456458 - -906379.7990929999
