timestamp,event,device
173,enter,SCREEN
553,quit,SCREEN
847,enter,TABLE
1120,quit,TABLE
1266,enter,SCREEN
1833,quit,SCREEN
1834,enter,TABLE
1834,quit,TABLE
1835,enter,SCREEN
1966,quit,SCREEN
1967,enter,TABLE
1967,quit,TABLE
1968,enter,SCREEN
1996,quit,SCREEN
1997,enter,TABLE
2001,quit,TABLE
2002,enter,SCREEN
2029,quit,SCREEN
2030,enter,TABLE
2034,quit,TABLE
2035,enter,SCREEN
2161,quit,SCREEN
2947,enter,SCREEN
3611,grasp,BLOCK
4174,quit,SCREEN
4417,enter,TABLE
6214,quit,TABLE
6218,enter,TABLE
6295,quit,TABLE
6475,enter,TABLE
6536,release,BLOCK
6596,quit,TABLE
