world_index,marker_uid,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y
0,apriltag_v3:tag36h11:0,730.4270019531251,554.642333984375,777.2557373046876,607.011962890625,840.1444702148436,568.5488281250001,792.2742919921873,519.24560546875
0,apriltag_v3:tag36h11:1,801.3724365234375,380.3848876953125,842.744934082031,414.4913940429687,888.7635498046875,388.8457641601562,847.8941040039064,357.76086425781244
0,apriltag_v3:tag36h11:2,880.7716064453126,335.0227661132813,921.9044189453124,366.96661376953125,959.7302246093751,325.7068786621093,918.5341186523439,296.2442016601562
0,apriltag_v3:tag36h11:3,949.4647216796873,295.6942443847656,987.3549804687501,324.86633300781244,1017.2088623046876,279.89550781250006,977.6841430664062,252.42002868652355
0,apriltag_v3:tag36h11:4,1065.720947265625,330.6495056152344,1106.507080078125,356.75024414062506,1128.5682373046873,308.9540405273438,1087.4482421875,285.03225708007807
0,apriltag_v3:tag36h11:5,1134.61474609375,394.2036437988281,1172.9643554687498,426.30801391601557,1199.1300048828123,378.82287597656256,1160.7890624999998,347.44796752929693
0,apriltag_v3:tag36h11:22,989.6295166015625,695.0051879882812,1014.6101074218751,720.522155761719,1044.7122802734375,689.8594360351562,1019.0895385742185,664.696105957031
0,apriltag_v3:tag36h11:23,1100.9501953125,582.236083984375,1077.2119140625002,609.7301025390626,1100.2829589843748,632.2257080078124,1123.6593017578123,603.824768066406
0,apriltag_v3:tag36h11:24,1142.47265625,532.7499389648438,1123.664794921875,558.1287231445312,1144.7634277343752,577.6762084960938,1163.692138671875,551.5996704101562
0,apriltag_v3:tag36h11:25,1176.4310302734375,495.1133728027344,1195.1966552734375,512.3685913085938,1209.0714111328125,489.5894775390625,1190.7904052734377,472.3068542480468
0,apriltag_v3:tag36h11:53,269.37008666992193,362.51910400390636,285.8150634765625,402.17980957031256,324.1387329101563,384.7906188964844,308.1218566894532,344.5229187011719
0,apriltag_v3:tag36h11:54,620.5086059570312,266.38076782226574,658.9461059570314,251.48060607910148,649.5512695312501,211.43359374999997,609.1331176757812,225.8887634277345
0,apriltag_v3:tag36h11:55,177.16253662109372,408.0240783691406,227.4986114501953,378.68130493164057,201.66050720214844,319.2459411621094,150.82113647460932,350.699462890625
0,apriltag_v3:tag36h11:56,164.9450836181641,209.55732727050776,113.78428649902342,241.68359374999994,133.27404785156247,302.27557373046875,184.59835815429688,272.25091552734375
1,apriltag_v3:tag36h11:0,728.4324951171875,555.2271118164059,775.3037109374999,608.0069580078124,838.1981201171876,569.4182739257815,790.7822875976562,519.8003540039061
1,apriltag_v3:tag36h11:1,800.0198364257815,380.3789367675781,841.405029296875,414.5754699707031,887.4247436523436,388.93341064453125,846.7601318359376,357.635009765625
1,apriltag_v3:tag36h11:2,879.5580444335939,334.8517761230469,920.7833862304688,366.8894348144531,958.6307373046876,325.50421142578125,917.655029296875,295.8083190917968
1,apriltag_v3:tag36h11:3,948.3972167968749,295.26788330078125,986.2753295898438,324.6825866699219,1016.3120117187502,279.54086303710943,976.8132934570314,251.97303771972662
1,apriltag_v3:tag36h11:4,1064.6074218750002,330.5259094238282,1105.68505859375,356.500244140625,1127.791381835937,308.60568237304676,1086.616455078125,284.97314453124994
1,apriltag_v3:tag36h11:5,1133.8150634765623,394.5322570800781,1172.1805419921875,426.5750427246093,1198.331665039063,378.8211364746093,1159.6799316406252,347.2394409179688
1,apriltag_v3:tag36h11:22,987.4752197265624,696.8357543945312,1012.4890747070312,721.3189086914065,1042.8394775390627,691.6950073242188,1016.9456787109376,666.3138427734373
1,apriltag_v3:tag36h11:23,1099.5372314453123,583.1419067382811,1075.611328125,610.8331909179688,1098.7584228515625,633.4181518554689,1122.0010986328123,605.0146484374999
1,apriltag_v3:tag36h11:24,1140.9022216796875,533.4169311523435,1122.5665283203123,559.3082885742186,1143.3875732421877,578.7663574218752,1162.5025634765627,552.4003906250001
1,apriltag_v3:tag36h11:25,1176.0252685546873,496.4011230468749,1194.089599609375,513.1835937500002,1208.129150390625,490.3267822265626,1189.3079833984373,472.8481140136717
1,apriltag_v3:tag36h11:53,268.1183776855468,362.2112731933594,284.68685913085943,402.1307678222657,322.8082580566406,384.6759338378906,307.04306030273426,344.3964538574219
1,apriltag_v3:tag36h11:54,619.3579711914064,265.94537353515625,657.8489379882811,251.03596496582034,648.4390258789064,210.88850402832037,608.0614013671876,225.30677795410153
1,apriltag_v3:tag36h11:55,176.04122924804685,407.86361694335943,226.29214477539062,378.5702209472655,200.6042785644532,319.0218811035156,149.74649047851562,350.5012817382813
1,apriltag_v3:tag36h11:56,164.0856781005859,209.2976226806641,112.94387817382811,241.37147521972673,132.2664031982422,302.0301818847656,183.56796264648438,272.042266845703
2,apriltag_v3:tag36h11:0,723.5516357421874,557.4599609374998,770.4398193359376,610.0899047851561,833.476318359375,571.7649536132814,785.9335327148436,522.2852172851564
2,apriltag_v3:tag36h11:1,796.1413574218749,383.11685180664074,837.1744995117188,417.3769226074219,883.3740844726562,391.70556640624994,842.6755371093749,360.47625732421875
2,apriltag_v3:tag36h11:2,875.8348388671876,337.63671875,916.8350830078126,369.791015625,955.0378417968749,328.4586486816405,913.9730224609375,298.90750122070307
2,apriltag_v3:tag36h11:3,945.0253295898438,298.41296386718756,982.724609375,327.71783447265625,1013.0814208984376,282.6390075683593,973.4580078125001,254.93139648437497
2,apriltag_v3:tag36h11:4,1061.305053710937,333.37261962890625,1102.1832275390625,359.5524597167969,1124.696411132813,311.85821533203125,1083.6334228515625,287.9383544921875
2,apriltag_v3:tag36h11:5,1130.4517822265625,397.3029479980469,1168.6165771484375,429.4385681152344,1195.3123779296873,381.7330322265625,1156.560546875,350.4496154785157
2,apriltag_v3:tag36h11:6,1223.6257324218755,478.82135009765625,1258.5572509765625,512.33203125,1280.452514648437,458.37298583984375,1249.3056640624998,429.82693481445307
2,apriltag_v3:tag36h11:20,805.6960449218749,656.229248046875,831.5618896484374,685.5953369140626,863.659912109375,663.9368896484374,837.4310913085936,636.3366088867185
2,apriltag_v3:tag36h11:22,982.7304077148439,698.5538330078126,1007.9105224609375,724.1436767578125,1038.11669921875,693.5005493164061,1012.5609741210938,668.2356567382812
