key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:51:50
Frame Index Range:,0 - 1085
Relative Time Range,00:00.000 - 00:41.636
Absolute Time Range,353772.251172 - 353813.888008
