device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
8643163456,348197159183,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(28.753236770629883, -19.217058181762695, 811.3796997070312)","(0.44458842277526855, 0.5259240865707397, 0.824232816696167)",1,"(0.5456584095954895, 0.7075713276863098)","(16.7860050201416, 73.68621826171875, 18.773658752441406)",1,3.3627471923828125,1,"(76.56806945800781, -41.325660705566406, 809.0767822265625)","(0.3607214689254761, 0.5789198279380798, 0.8274836540222168)",1,1705937076389,0.5456584095954895,0.7075713276863098
8643174559,348197170286,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(27.571809768676758, -22.04656410217285, 811.2818603515625)","(0.4467009902000427, 0.5325208902359009, 0.8240991234779358)",1,"(0.5456584095954895, 0.7075713276863098)","(16.7860050201416, 73.68621826171875, 18.773658752441406)",1,3.3627471923828125,1,"(75.4247055053711, -44.0870246887207, 809.1198120117188)","(0.36278584599494934, 0.5853629112243652, 0.827645480632782)",1,1705937076401,0.5456584095954895,0.7075713276863098
8643185663,348197181390,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(26.95174217224121, -17.356821060180664, 816.4227905273438)","(0.4480077028274536, 0.5212814211845398, 0.8341037631034851)",1,"(0.537545919418335, 0.6669054627418518)","(13.803711891174316, 81.58820343017578, 21.64981460571289)",1,3.4216766357421875,1,"(74.80895233154297, -38.311767578125, 814.1304321289062)","(0.3645768463611603, 0.5712487697601318, 0.8369148969650269)",1,1705937076413,0.537545919418335,0.6669054627418518
8643196766,348197192491,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(26.76092529296875, -17.86421012878418, 820.1419067382812)","(0.4485587477684021, 0.522265613079071, 0.8415456414222717)",1,"(0.5440285205841064, 0.6591739058494568)","(16.186824798583984, 83.09056854248047, 22.196617126464844)",1,3.4267730712890625,1,"(74.7140884399414, -37.96800231933594, 817.8353881835938)","(0.36532554030418396, 0.570037841796875, 0.8442365527153015)",1,1705937076424,0.5440285205841064,0.6591739058494568
8643207869,348197203594,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(26.863943099975586, -18.143320083618164, 825.8682861328125)","(0.4487057030200958, 0.5226184725761414, 0.8530085682868958)",1,"(0.5291067957878113, 0.6502823233604431)","(10.70130729675293, 84.81832122802734, 22.825468063354492)",1,3.5016326904296875,1,"(75.03406524658203, -37.679439544677734, 823.5324096679688)","(0.36566275358200073, 0.5687597990036011, 0.8556032776832581)",1,1705937076459,0.5291067957878113,0.6502823233604431
8643218972,348197214697,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(26.5916748046875, -18.433622360229492, 831.0048217773438)","(0.44946086406707764, 0.5230143666267395, 0.863269031047821)",1,"(0.5366594791412354, 0.6346651315689087)","(13.477838516235352, 87.85298156738281, 23.929969787597656)",1,3.552093505859375,1,"(75.10880279541016, -37.48252487182617, 828.6524047851562)","(0.3663283586502075, 0.5677645802497864, 0.8657863736152649)",1,1705937076459,0.5366594791412354,0.6346651315689087
8643230075,348197225799,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(27.027429580688477, -21.449222564697266, 830.8466796875)","(0.4487541615962982, 0.5299175381660461, 0.863125741481781)",1,"(0.5306249856948853, 0.6383190751075745)","(11.259450912475586, 87.1429443359375, 23.671545028686523)",1,3.561309814453125,1,"(75.56278228759766, -40.42871856689453, 828.5328979492188)","(0.3655787408351898, 0.5745314955711365, 0.8659063577651978)",1,1705937076459,0.5306249856948853,0.6383190751075745
8643241178,348197236902,"(0.4976239800453186, 0.6728239059448242)","(-0.8723331093788147, 80.4381332397461, 21.23118782043457)",1,3.355377197265625,1,"(26.892019271850586, -18.995832443237305, 835.2908935546875)","(0.44919031858444214, 0.5240787863731384, 0.8718790411949158)",1,"(0.5336335897445679, 0.6435502171516418)","(12.365453720092773, 86.12648010253906, 23.30156707763672)",1,3.5514068603515625,1,"(75.62629699707031, -37.48090744018555, 832.900390625)","(0.36609888076782227, 0.5673260688781738, 0.8743322491645813)",1,1705937076477,0.52,0.66
8643252281,348197248005,"(0.5350275039672852, 0.6178293228149414)","(12.87789249420166, 91.12439727783203, 25.12069320678711)",1,3.3302459716796875,1,"(26.713777542114258, -18.712379455566406, 838.5963134765625)","(0.44966766238212585, 0.523261547088623, 0.8784605860710144)",1,"(0.5396683812141418, 0.6309469938278198)","(14.583956718444824, 88.5754623413086, 24.19295310974121)",1,3.625518798828125,1,"(75.69518280029297, -36.979942321777344, 836.1873168945312)","(0.36647891998291016, 0.5658494234085083, 0.8808408379554749)",1,1705937076480,0.54,0.62
8643263384,348197259107,"(0.5350275039672852, 0.6178293228149414)","(12.87789249420166, 91.12439727783203, 25.12069320678711)",1,3.3302459716796875,1,"(26.906414031982422, -18.82882308959961, 840.6207275390625)","(0.44945183396339417, 0.5234250426292419, 0.882523775100708)",1,"(0.545707643032074, 0.6235410571098328)","(16.80411720275879, 90.0145263671875, 24.71673011779785)",1,3.6295166015625,1,"(76.03224182128906, -36.916748046875, 838.1875610351562)","(0.3662116527557373, 0.5655094385147095, 0.8848764896392822)",1,1705937076492,0.54,0.62
