world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
271442.77049799997,0,271442.625139,-11.558231353759766,1.8823697566986084,-11.558231353759766,1.8823697566986084,False,1.0
271442.77049799997,0,271442.633245,-11.211915969848633,1.8365181684494019,-11.211915969848633,1.8365181684494019,False,1.0
271442.77049799997,0,271442.641256,-10.825263023376465,1.814195990562439,-10.825263023376465,1.814195990562439,False,1.0
271442.77049799997,0,271442.653201,-10.785202980041504,1.7921931743621826,-10.785202980041504,1.7921931743621826,False,0.8947363495826721
271442.77049799997,0,271442.661143,-10.462838172912598,1.709190011024475,-10.462838172912598,1.709190011024475,False,0.9362550377845764
271442.77049799997,0,271442.669131,-10.484992980957031,1.720218300819397,-10.484992980957031,1.720218300819397,False,0.9645042419433594
271442.77049799997,0,271442.67715299997,-10.456031799316406,1.7169394493103027,-10.456031799316406,1.7169394493103027,False,0.9165968298912048
271442.77049799997,0,271442.68518699997,-10.541196823120117,1.7155300378799438,-10.541196823120117,1.7155300378799438,False,1.0
271442.77049799997,0,271442.6932,-10.294760704040527,1.661604642868042,-10.294760704040527,1.661604642868042,False,1.0
271442.77049799997,0,271442.701137,-10.256298065185547,1.6608669757843018,-10.256298065185547,1.6608669757843018,False,1.0
271442.77049799997,0,271442.709204,-10.187033653259277,1.6468645334243774,-10.187033653259277,1.6468645334243774,False,0.8986935615539551
271442.77049799997,0,271442.717203,-10.281013488769531,1.6345731019973755,-10.281013488769531,1.6345731019973755,False,1.0
271442.77049799997,0,271442.725114,-10.12513256072998,1.6374037265777588,-10.12513256072998,1.6374037265777588,False,1.0
271442.77049799997,0,271442.73715,-9.859951972961426,1.584115982055664,-9.859951972961426,1.584115982055664,False,0.9749229550361633
271442.77049799997,0,271442.74526399997,-9.735492706298828,1.577033519744873,-9.735492706298828,1.577033519744873,False,1.0
271442.77049799997,0,271442.753126,-9.616470336914062,1.5388001203536987,-9.616470336914062,1.5388001203536987,False,0.8868563175201416
271442.77049799997,0,271442.761083,-9.366374015808105,1.513156533241272,-9.366374015808105,1.513156533241272,False,0.9857432246208191
271442.77049799997,0,271442.76909099997,-9.287784576416016,1.4963977336883545,-9.287784576416016,1.4963977336883545,False,0.9933992624282837
271442.77049799997,0,271442.777182,-9.1814603805542,1.4807689189910889,-9.1814603805542,1.4807689189910889,False,0.8964396119117737
271442.77049799997,0,271442.785169,-8.894001007080078,1.4612339735031128,-8.894001007080078,1.4612339735031128,False,0.958267867565155
271442.77049799997,0,271442.793188,-8.65234088897705,1.4913439750671387,-8.65234088897705,1.4913439750671387,False,0.8453128337860107
271442.827016,1,271442.801108,-3.9073004722595215,0.7663517594337463,-3.9073004722595215,0.7663517594337463,False,0.3069901340551595
271442.827016,1,271442.81027799996,-2.028590440750122,3.728248357772827,-2.028590440750122,3.728248357772827,False,0.8717655522301094
271442.827016,1,271442.821159,-3.877633571624756,0.7835583686828613,-3.877633571624756,0.7835583686828613,False,0.3096856403024175
271442.827016,1,271442.830439,-3.478205919265747,0.9163849353790283,-3.478205919265747,0.9163849353790283,False,0.2897210699192359
271442.827016,1,271442.842806,-3.973389148712158,0.7976754307746887,-3.973389148712158,0.7976754307746887,False,0.32670100614142794
271442.870629,2,271442.85138899996,-3.9583756923675537,0.7919019460678101,-3.9583756923675537,0.7919019460678101,False,0.2887296469395563
271442.870629,2,271442.86085999996,-3.880213499069214,0.8018726706504822,-3.880213499069214,0.8018726706504822,False,0.3415907753774993
271442.870629,2,271442.870081,-3.9149670600891113,0.8071304559707642,-3.9149670600891113,0.8071304559707642,False,0.37115292577846953
271442.870629,2,271442.882045,-3.73551082611084,0.7645754814147949,-3.73551082611084,0.7645754814147949,False,0.294186763872372
271442.908342,3,271442.890685,-3.3688833713531494,0.7224547863006592,-3.3688833713531494,0.7224547863006592,False,0.2412801190873456
271442.908342,3,271442.900607,-4.315253734588623,0.5712113380432129,-4.315253734588623,0.5712113380432129,False,0.31303724629575314
271442.908342,3,271442.90885,-4.127917766571045,0.8213196396827698,-4.127917766571045,0.8213196396827698,False,0.3085906122303707
271442.908342,3,271442.91913299996,-4.182949066162109,0.8294771909713745,-4.182949066162109,0.8294771909713745,False,0.29825352917589687
271442.947263,4,271442.927844,-4.122701644897461,0.8075452446937561,-4.122701644897461,0.8075452446937561,False,0.99
271442.947263,4,271442.932861,-4.145999431610107,0.8077343702316284,-4.145999431610107,0.8077343702316284,False,1.0
271442.947263,4,271442.938312,-4.155943870544434,0.8156579732894897,-4.155943870544434,0.8156579732894897,False,1.0
271442.947263,4,271442.94510199997,-4.192333698272705,0.8184602856636047,-4.192333698272705,0.8184602856636047,False,1.0
271442.947263,4,271442.953155,-4.220236301422119,0.832481324672699,-4.220236301422119,0.832481324672699,False,1.0
271442.947263,4,271442.961149,-4.245518684387207,0.8365088701248169,-4.245518684387207,0.8365088701248169,False,1.0
271442.986734,5,271442.969109,-4.28023099899292,0.8512872457504272,-4.28023099899292,0.8512872457504272,False,1.0
271442.986734,5,271442.977117,-4.287445545196533,0.8621258735656738,-4.287445545196533,0.8621258735656738,False,1.0
271442.986734,5,271442.98913999996,-4.28875732421875,0.858339786529541,-4.28875732421875,0.858339786529541,False,1.0
271442.986734,5,271442.997164,-8.553627014160156,1.6002248525619507,-8.553627014160156,1.6002248525619507,False,1.0
271442.986734,5,271443.005138,-8.527358055114746,1.6029599905014038,-8.527358055114746,1.6029599905014038,False,1.0
271443.024813,6,271443.01321,-8.410597801208496,1.5278939008712769,-8.410597801208496,1.5278939008712769,False,1.0
