timestamp,block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,block_16,block_17,block_18,block_19,block_20,block_21,block_22,block_23
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
166,-1.3849366737666444,28.996808765299512,28.996808765299512,5.297102368133375,6.587285714244352,11.585554752059194,14.754247728276813,15.265020982952004,17.99593319174748,21.080432288998658,21.441027612352464,23.463810664628504,32.04091416261678,35.99570125139274,34.48662120952348,35.10670872834077,64.38381505243466,70.69808694476178,59.684022472636876,65.83998916490637,72.02671747468416,61.55387346039174,67.539625204014,73.58359076344175
219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
328,11.685166949978024,18.185801743495833,18.185801743495833,13.49176253999078,8.615348110412238,6.829568940562149,20.016770912965075,17.113377352533604,16.28761717564965,25.4305171619517,23.2143871285116,22.612531008330592,20.91090894275577,25.233817584909243,22.606167253641495,23.74582902587876,52.09600102422787,58.38160764801411,48.15018398131924,54.15382520250049,60.22504107855209,50.64069808737916,56.379755847335595,62.23420006921822
384,0.3512046345428934,28.193529616798003,28.193529616798003,6.247882771229512,6.849945399485683,11.084216000620826,15.742355205980028,15.99085552070792,18.2111381483047,22.07464603146569,22.252543905527126,23.897987418188507,31.196683274482837,35.23126131806558,33.497863475330774,34.22932277973206,63.30328468363037,69.60858463738758,58.80701130633658,64.93143737855317,71.09248035853419,60.808986414565865,66.74997985039568,72.75719217721246
436,-2.105062423308487,29.44017303127001,29.44017303127001,4.995940365809149,6.635920134952812,11.931225188623364,14.358561393970906,15.008141164154294,17.98785700597353,20.670074339311963,21.126476021604592,23.337666711897363,32.500338863342506,36.41811053533471,35.00754804908421,35.57914866756399,64.93870412680941,71.25633377633581,60.150116969811016,66.31925933569377,72.51671509666089,61.960634756030366,67.9656372494458,74.02538521546873
489,-2.111347310493087,29.723775212978378,29.723775212978378,5.007603372144626,6.846689620781443,12.202477134424004,14.367331495450456,15.106994457229563,18.172632472583302,20.678347949555977,21.198941981936457,23.48230036871031,32.7857186367322,36.69887568605214,35.29825704381024,35.865853338486545,65.23090242199144,71.54862005204087,60.43593777888372,66.60641675960971,72.80487040108481,62.23886595075337,68.24652821336454,74.30829707200601
541,-1.6646344735143794,29.64167161811383,29.64167161811383,4.35026021820664,6.47111936841145,12.043597054724579,13.701071688249097,14.51447509628438,17.71560982458691,20.013167602304698,20.578568934502147,22.94886366529719,32.72008568560227,36.590978955646705,35.3047526856444,35.81389218984401,65.27625622994695,71.59799985086973,60.37153713309682,66.55662422958453,72.76721915866767,62.10901712218835,68.13656684123082,74.21506380888565
593,-1.2349204279290666,30.188688074480815,30.188688074480815,4.192944129818718,6.908337300267863,12.573451803501912,13.641164534104439,14.70461538514353,18.071864309630953,19.967295106534536,20.708385201408852,23.22076190934833,33.27054342128403,37.13116817602058,35.867052839957836,36.36697384980427,65.84208170678741,72.16410049737401,60.92146467349907,67.10946515100531,73.32228849378491,62.64212929003391,68.67526350061517,74.75807310244662
646,-0.8586235869191594,30.571996429031827,30.571996429031827,3.9657488617039305,7.1686331221850175,12.933431867416028,13.454749573207062,14.72047631308504,18.236687799946075,19.786615304743243,20.668146555128782,23.303575713887476,33.6597390670208,37.502875872389794,36.28111317053304,36.76091209448799,66.26660496686435,72.58965769291221,61.30899451108758,67.50234111405368,73.71947860652419,63.00216398744372,69.0437970785084,75.133490436409
701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
