world_index,world_timestamp,surface_name,event_type
1510,-906386.9854969999,Right,enter
1510,-906386.9854969999,Assembly,enter
1512,-906386.907819,Screen,enter
1527,-906386.285585,Right,exit
1527,-906386.285585,Screen,exit
1528,-906386.242425,Assembly,exit
1535,-906385.9967599999,Assembly,enter
1535,-906385.9967599999,Screen,enter
1539,-906385.830565,Assembly,exit
1540,-906385.79132,Screen,exit
1542,-906385.7178349999,Left,exit
1545,-906385.6178939999,Left,enter
1548,-906385.514571,Assembly,enter
1549,-906385.4752379999,Screen,enter
1551,-906385.3994339999,Right,enter
1552,-906385.3594579999,Right,exit
1552,-906385.3594579999,Assembly,exit
1552,-906385.3594579999,Screen,exit
1557,-906385.177715,Assembly,enter
1558,-906385.142811,Right,enter
1599,-906383.4455019999,Right,exit
1599,-906383.4455019999,Assembly,exit
1599,-906383.4455019999,Left,exit
1608,-906383.135912,Left,enter
1608,-906383.135912,Screen,enter
1610,-906383.0628119999,Assembly,enter
1646,-906381.6231399999,Assembly,exit
1646,-906381.6231399999,Left,exit
1647,-906381.5852559999,Screen,exit
1656,-906381.293951,Right,enter
1656,-906381.293951,Left,enter
1657,-906381.2568219999,Assembly,enter
1692,-906379.7990929999,Right,exit
1692,-906379.7990929999,Assembly,exit
1692,-906379.7990929999,Left,exit
