key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,09:13:21
Frame Index Range:,0 - 1107
Relative Time Range,00:00.000 - 00:50.497
Absolute Time Range,300.271681 - 350.769561
