key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,09:42:58
Frame Index Range:,0 - 1701
Relative Time Range,00:00.000 - 01:29.995
Absolute Time Range,274452.650246 - 274542.645547
