key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:03:25
Frame Index Range:,0 - 1461
Relative Time Range,00:00.000 - 00:58.919
Absolute Time Range,84054.10453699999 - 84113.023838
