key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,09:18:01
Frame Index Range:,0 - 678
Relative Time Range,00:00.000 - 00:41.969
Absolute Time Range,425.205955 - 467.175696
