key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:15:21
Frame Index Range:,0 - 1593
Relative Time Range,00:00.000 - 01:03.361
Absolute Time Range,-906237.2365049999 - -906173.8751599999
