key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.01.2024
Export Time,10:03:26
Frame Index Range:,0 - 1060
Relative Time Range,00:00.000 - 00:55.503
Absolute Time Range,231278.234891 - 231333.738338
