timestamp,distance
0,nan
61,nan
118,nan
174,nan
235,nan
291,nan
347,nan
407,nan
463,nan
522,nan
569,16.77683287496895
614,nan
662,30.045875398641723
713,32.35232256358494
767,32.95215432648158
823,33.17878062502757
876,32.57830034100813
931,35.23948452409516
988,36.11952241122735
1047,35.788273051664945
1117,33.84214653436303
1181,12.249562210755187
1236,nan
1290,1.4911181306079024
1345,0.3393194076513148
1404,-0.2385253594020467
1459,0.7590479622779099
1514,1.3691439189133485
1571,1.5588548356993142
1629,-1.3440724743218695
1688,1.4322549896967707
1746,1.4442495157218835
1800,1.4658003758946976
1852,1.7343122981312646
1905,1.4717344028201826
1957,1.2720791481888365
2010,1.1512835749116745
2063,1.1904573452675613
2114,0.8226627854491357
2166,1.0503075379600129
2218,0.9547097741419132
2282,nan
2333,nan
2375,nan
2420,nan
2461,nan
2503,nan
2554,nan
2610,nan
2666,nan
2719,nan
2777,nan
2837,nan
2893,nan
