key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,09:36:49
Frame Index Range:,0 - 1107
Relative Time Range,00:00.000 - 00:58.758
Absolute Time Range,274237.263482 - 274296.022213
