timestamp,event,device
5,enter,TABLE
768,quit,TABLE
914,enter,SCREEN
995,quit,SCREEN
996,enter,TABLE
1002,quit,TABLE
1003,enter,SCREEN
1027,quit,SCREEN
1028,enter,TABLE
1035,quit,TABLE
1036,enter,SCREEN
1056,quit,SCREEN
1057,enter,TABLE
1057,quit,TABLE
1058,enter,SCREEN
1089,quit,SCREEN
1090,enter,TABLE
1091,quit,TABLE
1092,enter,SCREEN
1348,quit,SCREEN
1349,enter,TABLE
1357,quit,TABLE
1358,enter,SCREEN
1384,quit,SCREEN
1385,enter,TABLE
1415,quit,TABLE
1416,enter,SCREEN
2619,quit,SCREEN
2773,enter,TABLE
3197,quit,TABLE
3250,enter,SCREEN
3940,grasp,BLOCK
4869,quit,SCREEN
5085,enter,TABLE
8992,quit,TABLE
9121,enter,TABLE
9123,quit,TABLE
9124,enter,SCREEN
9170,quit,SCREEN
9171,enter,TABLE
9190,quit,TABLE
9191,enter,SCREEN
9203,quit,SCREEN
9204,enter,TABLE
9212,quit,TABLE
9213,enter,SCREEN
9237,quit,SCREEN
9238,enter,TABLE
9272,quit,TABLE
9273,enter,SCREEN
9300,quit,SCREEN
9301,enter,TABLE
9302,quit,TABLE
9303,enter,SCREEN
9413,quit,SCREEN
9414,enter,TABLE
9420,quit,TABLE
9421,enter,SCREEN
9478,quit,SCREEN
9479,enter,TABLE
9480,quit,TABLE
9481,enter,SCREEN
9778,release,BLOCK
9838,quit,SCREEN
