key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.01.2024
Export Time,16:09:22
Frame Index Range:,0 - 1102
Relative Time Range,00:00.000 - 00:44.339
Absolute Time Range,-819101.4936929999 - -819057.1546459999
